[2018-01-13 13:53:51.545231][tm] 0x0300,0x004F,0x00F0,0x00ED,0x00EB,0x00EB,0x00E9,0x00E8,0x00E5,0x00E4,0x00E4,0x00E4,0x00E5,0x00E6,0x00E8,0x00E8,0x00E7,0x00E5,0x00E1,0x00E2,0x00E3,0x00E4,0x00E4,0x00E5,0x00E5,0x00E5,0x00E4,0x00E2,0x00E2,0x00E2,0x00E2,0x00E1
[2018-01-13 13:53:52.864981][tm] 0x0300,0x0050,0x00E2,0x00E2,0x00E6,0x01C3,0x01C4,0x01C0,0x01BC,0x01BA,0x01B7,0x01B5,0x01B2,0x01AE,0x01A9,0x01A8,0x01A9,0x01A9,0x01A7,0x01A6,0x01A4,0x01A3,0x019F,0x019C,0x019D,0x019D,0x019D,0x019B,0x0197,0x0193,0x0193,0x0191
[2018-01-13 13:53:54.185912][tm] 0x0300,0x0051,0x018E,0x018B,0x018A,0x0186,0x0185,0x017F,0x017B,0x0176,0x0172,0x016E,0x016F,0x0170,0x0172,0x0171,0x016F,0x016B,0x0169,0x0167,0x0165,0x0166,0x0167,0x0167,0x0163,0x0160,0x015D,0x0160,0x0160,0x0162,0x0161,0x015D
[2018-01-13 13:53:55.506727][tm] 0x0300,0x0052,0x015A,0x0158,0x0155,0x0154,0x0154,0x0154,0x0152,0x0151,0x014F,0x014F,0x014F,0x014E,0x014B,0x014A,0x0146,0x0141,0x0142,0x0144,0x0145,0x0144,0x0143,0x0142,0x0141,0x0142,0x0142,0x0142,0x0144,0x0144,0x0144,0x0144
[2018-01-13 13:53:56.826468][tm] 0x0300,0x0053,0x0142,0x013F,0x013E,0x013C,0x013D,0x013C,0x013D,0x013C,0x013C,0x013A,0x0139,0x0136,0x0134,0x0135,0x0136,0x0137,0x0135,0x0134,0x0132,0x0133,0x0133,0x0134,0x0133,0x0133,0x0132,0x0131,0x012F,0x012D,0x012B,0x012B
[2018-01-13 13:53:58.160303][tm] 0x0300,0x0054,0x0129,0x0128,0x0127,0x0127,0x0127,0x0128,0x0128,0x0125,0x0124,0x0122,0x0124,0x0125,0x0127,0x0128,0x0128,0x012B,0x012A,0x0129,0x0129,0x012A,0x012C,0x012F,0x0130,0x0131,0x0130,0x012E,0x012B,0x0129,0x0129,0x012A
[2018-01-13 13:53:59.481390][tm] 0x0300,0x0055,0x012D,0x012B,0x012A,0x0128,0x0127,0x0125,0x0124,0x0127,0x0129,0x012B,0x0129,0x0126,0x0122,0x0122,0x011F,0x011D,0x011E,0x011F,0x011F,0x011D,0x011A,0x0117,0x0116,0x0115,0x0115,0x0114,0x0112,0x010F,0x010F,0x010F
[2018-01-13 13:54:00.801031][tm] 0x0300,0x0056,0x010F,0x010E,0x010D,0x010D,0x010F,0x0112,0x0116,0x011A,0x011C,0x011F,0x011F,0x0121,0x0122,0x0123,0x0124,0x0128,0x012A,0x012D,0x0130,0x0132,0x0134,0x0137,0x0139,0x01D2,0x01D6,0x01D6,0x01D6,0x01D1,0x01CD,0x01CA
[2018-01-13 13:54:02.120923][tm] 0x0300,0x0057,0x01C9,0x01C7,0x01C4,0x01C2,0x01BD,0x01B3,0x01AD,0x01A8,0x01A4,0x019F,0x019C,0x0195,0x0190,0x018D,0x0189,0x0188,0x0187,0x0186,0x0186,0x0186,0x0187,0x0186,0x0186,0x0185,0x0184,0x017F,0x017E,0x017B,0x0179,0x0177
[2018-01-13 13:54:03.441830][tm] 0x0300,0x0058,0x0175,0x0174,0x0172,0x0171,0x016D,0x0169,0x0165,0x0160,0x015C,0x015C,0x015B,0x015C,0x0159,0x0156,0x0156,0x0157,0x015A,0x015B,0x015B,0x015A,0x0157,0x0157,0x0157,0x0156,0x0152,0x014E,0x0149,0x0147,0x0147,0x0145
