[2018-01-11 12:53:44.941918][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:53:49.942344][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:53:53.606323][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:53:58.606792][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:01.446478][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:06.446994][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:14.350980][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:19.351587][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:29.638857][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:34.639218][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:35.047487][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "eps"}}
[2018-01-11 12:54:40.047737][debug] Ping to 2 of size 10 took -1 ms.
[2018-01-11 12:54:47.919796][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:52.920163][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:57.287668][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:02.288148][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:16.184086][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:21.184498][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:25.663933][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:30.664424][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:53.922440][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:58.922929][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:56:07.481131][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:56:12.481633][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:56:12.481962][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "obc"}}
[2018-01-11 12:56:17.482081][debug] Ping to 0 of size 10 took -1 ms.
[2018-01-11 12:56:18.810490][debug] [Client] Received message: {"data": [20485, 134, 20487, 28679, 20488, 0, 20485, 181, 20487, 28679, 20488, 0, 32771, 0, 65534, 65534], "type": "tc"}
[2018-01-11 12:56:54.778105][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:56:59.778440][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:57:00.738292][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:05.738826][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:57:06.618285][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:07.518744][debug] Ping to 5 of size 10 took 901 ms.
[2018-01-11 12:57:13.811045][debug] [Client] Received message: {"data": [20485, 134, 20487, 28679, 20488, 0, 20485, 181, 20487, 28679, 20488, 0, 32771, 0, 65534, 65534], "type": "tc"}
[2018-01-11 12:57:43.587474][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:43.832130][tm] 0x0200,0x0001,0x0007,0x000B,0x000C,0x003A,0x0011,0x0000,0x0000,0x2065,0x00ED,0x0D3F,0x0BCC,0x0A56,0x0077,0x0001,0x0001,0x0000,0x0000,0x00B4,0x02D0,0x000C,0x0018,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE
[2018-01-11 12:58:03.674293][tm] 0x0300,0x0009,0x00FA,0x00F9,0x00F9,0x00FA,0x00FB,0x00FF,0x0100,0x0100,0x0102,0x0102,0x0103,0x0104,0x0100,0x00FD,0x00FB,0x00FD,0x0100,0x0103,0x0103,0x0102,0x0102,0x0101,0x0101,0x0100,0x00FE,0x00FB,0x00F9,0x00FA,0x00FB,0x00FC
[2018-01-11 12:58:04.981218][tm] 0x0300,0x000A,0x00FD,0x00FD,0x00FD,0x00FD,0x00FD,0x00FE,0x0100,0x0102,0x0104,0x0104,0x0105,0x0106,0x0105,0x0104,0x0104,0x0102,0x0102,0x00FF,0x00FF,0x00FD,0x00FA,0x00F6,0x00F4,0x00F1,0x00F0,0x00EE,0x00ED,0x00EE,0x00F0,0x00F2
[2018-01-11 12:58:06.272875][tm] 0x0300,0x000B,0x00F1,0x00F0,0x00F0,0x00F1,0x00F3,0x00F6,0x00F4,0x00F1,0x00EE,0x00EC,0x00EA,0x00E6,0x00E4,0x00E2,0x00E2,0x00E3,0x00E5,0x00E6,0x00E4,0x00E2,0x00DE,0x00E1,0x00E4,0x00E7,0x00E8,0x00E9,0x00EA,0x00EA,0x00EA,0x00EA
[2018-01-11 12:58:07.579631][tm] 0x0300,0x000C,0x00EA,0x00EA,0x00E9,0x00EA,0x00E9,0x00E8,0x00E7,0x00E7,0x00E8,0x00E9,0x00EB,0x00EF,0x00EE,0x00ED,0x00EC,0x00EB,0x00E9,0x00E7,0x00E8,0x00EB,0x00F0,0x00F0,0x00EF,0x00EF,0x00F0,0x00F1,0x00F3,0x00F2,0x00F2,0x00F3
[2018-01-11 12:58:11.462216][tm] 0x0300,0x000F,0x009F,0x009F,0x00A2,0x00A5,0x00A8,0x00AB,0x00AD,0x00B0,0x00B2,0x00B4,0x00B9,0x00BB,0x00BD,0x00C0,0x00C2,0x00C4,0x00C9,0x00C9,0x00C8,0x00C7,0x00C8,0x00C7,0x00C8,0x00C7,0x00C7,0x00C4,0x00C2,0x00BF,0x00BF,0x00C2
[2018-01-11 12:58:34.873165][tm] 0x0300,0x0021,0x00DD,0x00E0,0x00E3,0x00E4,0x00E5,0x00E6,0x00E5,0x00E4,0x00E2,0x00E4,0x00E5,0x00E7,0x00E4,0x0005,0x000D,0x0014,0x001B,0x001D,0x0020,0x0023,0x0024,0x0026,0x0029,0x002A,0x0029,0x002A,0x002D,0x0030,0x0034,0x0036
[2018-01-11 12:58:36.180083][tm] 0x0300,0x0022,0x0038,0x003B,0x003D,0x003F,0x0042,0x0044,0x0047,0x004D,0x004F,0x0052,0x0059,0x005A,0x005A,0x005C,0x005E,0x0061,0x0065,0x0064,0x0063,0x0063,0x0065,0x0069,0x006F,0x006E,0x006D,0x006B,0x006F,0x0072,0x0075,0x0075
[2018-01-11 12:58:37.499831][tm] 0x0300,0x0023,0x0074,0x0071,0x0071,0x0070,0x006F,0x006F,0x0070,0x0070,0x006F,0x006F,0x006E,0x006D,0x006D,0x006C,0x006B,0x006A,0x0069,0x006E,0x0072,0x0075,0x0075,0x0075,0x0077,0x0078,0x007C,0x0084,0x0086,0x0089,0x008C,0x008C
[2018-01-11 12:58:38.819711][tm] 0x0300,0x0024,0x008B,0x008B,0x008D,0x008F,0x0091,0x0090,0x008F,0x008E,0x008E,0x008F,0x0093,0x0094,0x0096,0x0097,0x0095,0x0095,0x0094,0x0098,0x009D,0x00A1,0x00A4,0x00A7,0x00AC,0x00AD,0x00AE,0x00B1,0x00B0,0x00AF,0x00AE,0x00AE
[2018-01-11 12:58:40.139567][tm] 0x0300,0x0025,0x00AD,0x00AF,0x00B2,0x00B5,0x00B6,0x00B7,0x00B6,0x00B7,0x00B6,0x00B5,0x00B3,0x00B2,0x00B0,0x00AF,0x00AF,0x00B0,0x00B0,0x00B0,0x00B0,0x00B2,0x00B3,0x00B5,0x00B8,0x00B9,0x00BB,0x00BF,0x00C1,0x00C4,0x00C5,0x00C7
